job_id,job_title,company,location,required_skills,experience_level,employment_type,industry,salary_min,salary_max,posted_date,description
30,Quality Assurance Engineer,SpaceX,"Chicago, IL","Testing, Automation, Python, SQL",Mid Level,Part-time,Manufacturing,103201,123201,2024-01-30,Ensure quality standards through automated testing and validation.
31,Data Scientist,Google,"Los Angeles, CA","Python, Machine Learning, SQL, Statistics",Senior Level,Contract,Entertainment,80075,129948,2024-01-31,Exciting opportunity to work with cutting-edge AI and ML technologies.
32,Software Engineer,Microsoft,"Denver, CO","Java, Python, SQL, Git, Agile",Executive,Remote,Consulting,91350,184582,2024-02-01,Join our engineering team to build scalable software solutions.
33,Product Manager,Amazon,"San Francisco, CA","Strategy, Analytics, Communication, Leadership",Entry Level,Full-time,Technology,91728,93098,2024-02-02,Lead product strategy and work cross-functionally with engineering teams.
34,UX Designer,Apple,"Seattle, WA","Design, Prototyping, User Research, Figma",Mid Level,Part-time,Healthcare,53206,182192,2024-02-03,Design intuitive user experiences for our mobile and web applications.
35,DevOps Engineer,Facebook,"New York, NY","Docker, Kubernetes, AWS, Python, Linux",Senior Level,Contract,Finance,119052,145692,2024-02-04,Manage cloud infrastructure and deployment pipelines.
36,Business Analyst,Netflix,"Austin, TX","SQL, Excel, Analytics, Communication",Executive,Remote,Education,64537,129194,2024-02-05,Analyze business data to drive strategic decision-making.
37,Marketing Manager,Uber,"Boston, MA","Marketing, Analytics, Communication, Strategy",Entry Level,Full-time,Retail,55476,82537,2024-02-06,Develop and execute marketing campaigns for our products.
38,Sales Manager,Airbnb,"Chicago, IL","Sales, Communication, CRM, Leadership",Mid Level,Part-time,Manufacturing,71631,104252,2024-02-07,Drive sales growth and manage key customer relationships.
39,Project Manager,Tesla,"Los Angeles, CA","Project Management, Agile, Communication, Leadership",Senior Level,Contract,Entertainment,70375,87774,2024-02-08,Coordinate cross-functional projects and ensure timely delivery.
40,Quality Assurance Engineer,SpaceX,"Denver, CO","Testing, Automation, Python, SQL",Executive,Remote,Consulting,54767,162729,2024-02-09,Ensure quality standards through automated testing and validation.
41,Data Scientist,Google,"San Francisco, CA","Python, Machine Learning, SQL, Statistics",Entry Level,Full-time,Technology,61493,83063,2024-02-10,Exciting opportunity to work with cutting-edge AI and ML technologies.
42,Software Engineer,Microsoft,"Seattle, WA","Java, Python, SQL, Git, Agile",Mid Level,Part-time,Healthcare,62661,135383,2024-02-11,Join our engineering team to build scalable software solutions.
43,Product Manager,Amazon,"New York, NY","Strategy, Analytics, Communication, Leadership",Senior Level,Contract,Finance,105133,125133,2024-02-12,Lead product strategy and work cross-functionally with engineering teams.
44,UX Designer,Apple,"Austin, TX","Design, Prototyping, User Research, Figma",Executive,Remote,Education,88949,163508,2024-02-13,Design intuitive user experiences for our mobile and web applications.
45,DevOps Engineer,Facebook,"Boston, MA","Docker, Kubernetes, AWS, Python, Linux",Entry Level,Full-time,Retail,71640,183014,2024-02-14,Manage cloud infrastructure and deployment pipelines.
46,Business Analyst,Netflix,"Chicago, IL","SQL, Excel, Analytics, Communication",Mid Level,Part-time,Manufacturing,90965,96395,2024-02-15,Analyze business data to drive strategic decision-making.
47,Marketing Manager,Uber,"Los Angeles, CA","Marketing, Analytics, Communication, Strategy",Senior Level,Contract,Entertainment,62656,130263,2024-02-16,Develop and execute marketing campaigns for our products.
48,Sales Manager,Airbnb,"Denver, CO","Sales, Communication, CRM, Leadership",Executive,Remote,Consulting,77517,147692,2024-02-17,Drive sales growth and manage key customer relationships.
49,Project Manager,Tesla,"San Francisco, CA","Project Management, Agile, Communication, Leadership",Entry Level,Full-time,Technology,77847,99009,2024-02-18,Coordinate cross-functional projects and ensure timely delivery.
50,Quality Assurance Engineer,SpaceX,"Seattle, WA","Testing, Automation, Python, SQL",Mid Level,Part-time,Healthcare,111941,166436,2024-02-19,Ensure quality standards through automated testing and validation.
51,Data Scientist,Google,"New York, NY","Python, Machine Learning, SQL, Statistics",Senior Level,Contract,Finance,102750,147462,2024-02-20,Exciting opportunity to work with cutting-edge AI and ML technologies.
52,Software Engineer,Microsoft,"Austin, TX","Java, Python, SQL, Git, Agile",Executive,Remote,Education,72209,182790,2024-02-21,Join our engineering team to build scalable software solutions.
53,Product Manager,Amazon,"Boston, MA","Strategy, Analytics, Communication, Leadership",Entry Level,Full-time,Retail,71105,180913,2024-02-22,Lead product strategy and work cross-functionally with engineering teams.
54,UX Designer,Apple,"Chicago, IL","Design, Prototyping, User Research, Figma",Mid Level,Part-time,Manufacturing,51727,145001,2024-02-23,Design intuitive user experiences for our mobile and web applications.
55,DevOps Engineer,Facebook,"Los Angeles, CA","Docker, Kubernetes, AWS, Python, Linux",Senior Level,Contract,Entertainment,79106,148604,2024-02-24,Manage cloud infrastructure and deployment pipelines.
56,Business Analyst,Netflix,"Denver, CO","SQL, Excel, Analytics, Communication",Executive,Remote,Consulting,109593,181426,2024-02-25,Analyze business data to drive strategic decision-making.
57,Marketing Manager,Uber,"San Francisco, CA","Marketing, Analytics, Communication, Strategy",Entry Level,Full-time,Technology,109874,186574,2024-02-26,Develop and execute marketing campaigns for our products.
58,Sales Manager,Airbnb,"Seattle, WA","Sales, Communication, CRM, Leadership",Mid Level,Part-time,Healthcare,98487,113575,2024-02-27,Drive sales growth and manage key customer relationships.
59,Project Manager,Tesla,"New York, NY","Project Management, Agile, Communication, Leadership",Senior Level,Contract,Finance,93298,128016,2024-02-28,Coordinate cross-functional projects and ensure timely delivery.
60,Quality Assurance Engineer,SpaceX,"Austin, TX","Testing, Automation, Python, SQL",Executive,Remote,Education,80693,152479,2024-02-29,Ensure quality standards through automated testing and validation.
61,Data Scientist,Google,"Boston, MA","Python, Machine Learning, SQL, Statistics",Entry Level,Full-time,Retail,72447,159276,2024-03-01,Exciting opportunity to work with cutting-edge AI and ML technologies.
62,Software Engineer,Microsoft,"Chicago, IL","Java, Python, SQL, Git, Agile",Mid Level,Part-time,Manufacturing,113907,138099,2024-03-02,Join our engineering team to build scalable software solutions.
63,Product Manager,Amazon,"Los Angeles, CA","Strategy, Analytics, Communication, Leadership",Senior Level,Contract,Entertainment,94229,158005,2024-03-03,Lead product strategy and work cross-functionally with engineering teams.
64,UX Designer,Apple,"Denver, CO","Design, Prototyping, User Research, Figma",Executive,Remote,Consulting,118473,138473,2024-03-04,Design intuitive user experiences for our mobile and web applications.
65,DevOps Engineer,Facebook,"San Francisco, CA","Docker, Kubernetes, AWS, Python, Linux",Entry Level,Full-time,Technology,55306,172642,2024-03-05,Manage cloud infrastructure and deployment pipelines.
66,Business Analyst,Netflix,"Seattle, WA","SQL, Excel, Analytics, Communication",Mid Level,Part-time,Healthcare,52329,171305,2024-03-06,Analyze business data to drive strategic decision-making.
67,Marketing Manager,Uber,"New York, NY","Marketing, Analytics, Communication, Strategy",Senior Level,Contract,Finance,65988,102451,2024-03-07,Develop and execute marketing campaigns for our products.
68,Sales Manager,Airbnb,"Austin, TX","Sales, Communication, CRM, Leadership",Executive,Remote,Education,73653,185465,2024-03-08,Drive sales growth and manage key customer relationships.
69,Project Manager,Tesla,"Boston, MA","Project Management, Agile, Communication, Leadership",Entry Level,Full-time,Retail,52163,81893,2024-03-09,Coordinate cross-functional projects and ensure timely delivery.
70,Quality Assurance Engineer,SpaceX,"Chicago, IL","Testing, Automation, Python, SQL",Mid Level,Part-time,Manufacturing,98159,150507,2024-03-10,Ensure quality standards through automated testing and validation.
71,Data Scientist,Google,"Los Angeles, CA","Python, Machine Learning, SQL, Statistics",Senior Level,Contract,Entertainment,115765,175702,2024-03-11,Exciting opportunity to work with cutting-edge AI and ML technologies.
72,Software Engineer,Microsoft,"Denver, CO","Java, Python, SQL, Git, Agile",Executive,Remote,Consulting,67703,126692,2024-03-12,Join our engineering team to build scalable software solutions.
73,Product Manager,Amazon,"San Francisco, CA","Strategy, Analytics, Communication, Leadership",Entry Level,Full-time,Technology,86901,100792,2024-03-13,Lead product strategy and work cross-functionally with engineering teams.
74,UX Designer,Apple,"Seattle, WA","Design, Prototyping, User Research, Figma",Mid Level,Part-time,Healthcare,92264,92973,2024-03-14,Design intuitive user experiences for our mobile and web applications.
75,DevOps Engineer,Facebook,"New York, NY","Docker, Kubernetes, AWS, Python, Linux",Senior Level,Contract,Finance,71544,101320,2024-03-15,Manage cloud infrastructure and deployment pipelines.
76,Business Analyst,Netflix,"Austin, TX","SQL, Excel, Analytics, Communication",Executive,Remote,Education,111677,121214,2024-03-16,Analyze business data to drive strategic decision-making.
77,Marketing Manager,Uber,"Boston, MA","Marketing, Analytics, Communication, Strategy",Entry Level,Full-time,Retail,97830,114890,2024-03-17,Develop and execute marketing campaigns for our products.
78,Sales Manager,Airbnb,"Chicago, IL","Sales, Communication, CRM, Leadership",Mid Level,Part-time,Manufacturing,65443,143224,2024-03-18,Drive sales growth and manage key customer relationships.
79,Project Manager,Tesla,"Los Angeles, CA","Project Management, Agile, Communication, Leadership",Senior Level,Contract,Entertainment,52005,131097,2024-03-19,Coordinate cross-functional projects and ensure timely delivery.
80,Quality Assurance Engineer,SpaceX,"Denver, CO","Testing, Automation, Python, SQL",Executive,Remote,Consulting,104150,164602,2024-03-20,Ensure quality standards through automated testing and validation.
81,Data Scientist,Google,"San Francisco, CA","Python, Machine Learning, SQL, Statistics",Entry Level,Full-time,Technology,83649,100092,2024-03-21,Exciting opportunity to work with cutting-edge AI and ML technologies.
82,Software Engineer,Microsoft,"Seattle, WA","Java, Python, SQL, Git, Agile",Mid Level,Part-time,Healthcare,50017,183980,2024-03-22,Join our engineering team to build scalable software solutions.
83,Product Manager,Amazon,"New York, NY","Strategy, Analytics, Communication, Leadership",Senior Level,Contract,Finance,57687,163396,2024-03-23,Lead product strategy and work cross-functionally with engineering teams.
84,UX Designer,Apple,"Austin, TX","Design, Prototyping, User Research, Figma",Executive,Remote,Education,54447,139914,2024-03-24,Design intuitive user experiences for our mobile and web applications.
85,DevOps Engineer,Facebook,"Boston, MA","Docker, Kubernetes, AWS, Python, Linux",Entry Level,Full-time,Retail,119105,128454,2024-03-25,Manage cloud infrastructure and deployment pipelines.
86,Business Analyst,Netflix,"Chicago, IL","SQL, Excel, Analytics, Communication",Mid Level,Part-time,Manufacturing,100625,148881,2024-03-26,Analyze business data to drive strategic decision-making.
87,Marketing Manager,Uber,"Los Angeles, CA","Marketing, Analytics, Communication, Strategy",Senior Level,Contract,Entertainment,90328,111772,2024-03-27,Develop and execute marketing campaigns for our products.
88,Sales Manager,Airbnb,"Denver, CO","Sales, Communication, CRM, Leadership",Executive,Remote,Consulting,68779,137239,2024-03-28,Drive sales growth and manage key customer relationships.
89,Project Manager,Tesla,"San Francisco, CA","Project Management, Agile, Communication, Leadership",Entry Level,Full-time,Technology,67918,163129,2024-03-29,Coordinate cross-functional projects and ensure timely delivery.
90,Quality Assurance Engineer,SpaceX,"Seattle, WA","Testing, Automation, Python, SQL",Mid Level,Part-time,Healthcare,81259,109582,2024-03-30,Ensure quality standards through automated testing and validation.
91,Data Scientist,Google,"New York, NY","Python, Machine Learning, SQL, Statistics",Senior Level,Contract,Finance,56407,124030,2024-03-31,Exciting opportunity to work with cutting-edge AI and ML technologies.
92,Software Engineer,Microsoft,"Austin, TX","Java, Python, SQL, Git, Agile",Executive,Remote,Education,106779,148948,2024-04-01,Join our engineering team to build scalable software solutions.
93,Product Manager,Amazon,"Boston, MA","Strategy, Analytics, Communication, Leadership",Entry Level,Full-time,Retail,66667,148654,2024-04-02,Lead product strategy and work cross-functionally with engineering teams.
94,UX Designer,Apple,"Chicago, IL","Design, Prototyping, User Research, Figma",Mid Level,Part-time,Manufacturing,68839,138523,2024-04-03,Design intuitive user experiences for our mobile and web applications.
95,DevOps Engineer,Facebook,"Los Angeles, CA","Docker, Kubernetes, AWS, Python, Linux",Senior Level,Contract,Entertainment,84440,114942,2024-04-04,Manage cloud infrastructure and deployment pipelines.
96,Business Analyst,Netflix,"Denver, CO","SQL, Excel, Analytics, Communication",Executive,Remote,Consulting,51113,186185,2024-04-05,Analyze business data to drive strategic decision-making.
97,Marketing Manager,Uber,"San Francisco, CA","Marketing, Analytics, Communication, Strategy",Entry Level,Full-time,Technology,92936,112936,2024-04-06,Develop and execute marketing campaigns for our products.
98,Sales Manager,Airbnb,"Seattle, WA","Sales, Communication, CRM, Leadership",Mid Level,Part-time,Healthcare,88523,161725,2024-04-07,Drive sales growth and manage key customer relationships.
99,Project Manager,Tesla,"New York, NY","Project Management, Agile, Communication, Leadership",Senior Level,Contract,Finance,108601,196576,2024-04-08,Coordinate cross-functional projects and ensure timely delivery.
100,Quality Assurance Engineer,SpaceX,"Austin, TX","Testing, Automation, Python, SQL",Executive,Remote,Education,83044,173493,2024-04-09,Ensure quality standards through automated testing and validation.
